Region,District,Village
Amhara,Libo Kemkem,Ginaza
Amhara,Libo Kemkem,Ginaza
Amhara,Libo Kemkem,Ginaza
Amhara,Libo Kemkem,Ginaza
Amhara,Libo Kemkem,Ginaza
Amhara,Libo Kemkem,Ginaza
Amhara,Libo Kemkem,Birkutea
Amhara,Libo Kemkem,Birkutea
Amhara,Libo Kemkem,Birkutea
Amhara,Libo Kemkem,Birkutea
Amhara,Libo Kemkem,Birkutea
Amhara,Libo Kemkem,Birkutea
Amhara,Libo Kemkem,Birkutea
Amhara,Libo Kemkem,Birkutea
Amhara,Libo Kemkem,Birkutea
Amhara,Libo Kemkem,Birkutea
Amhara,Libo Kemkem,Birkutea
Amhara,Libo Kemkem,Birkutea
Amhara,Libo Kemkem,Birkutea
Amhara,Libo Kemkem,Birkutea
Amhara,Libo Kemkem,Birkutea
Amhara,Libo Kemkem,Ginaza
Amhara,Libo Kemkem,Ginaza
Amhara,Libo Kemkem,Ginaza
Amhara,Libo Kemkem,Ginaza
Amhara,Libo Kemkem,Ginaza
Amhara,Libo Kemkem,Ginaza
Amhara,Libo Kemkem,Ginaza
Amhara,Libo Kemkem,Ginaza
Amhara,Libo Kemkem,Ginaza
Amhara,Libo Kemkem,Ginaza
Amhara,Libo Kemkem,Ginaza
Amhara,Libo Kemkem,Ginaza
Amhara,Libo Kemkem,Ginaza
Amhara,Libo Kemkem,Ginaza
Amhara,Libo Kemkem,Ginaza
Amhara,Libo Kemkem,Ginaza
Amhara,Libo Kemkem,Ginaza
Amhara,Libo Kemkem,Ginaza
Amhara,Libo Kemkem,Ginaza
Amhara,Libo Kemkem,Ginaza
Amhara,Libo Kemkem,Ginaza
Tigray,Medebay-Zana,Adibearj
Tigray,Medebay-Zana,Adibearj
Tigray,Medebay-Zana,Adibearj
Tigray,Medebay-Zana,Adibearj
Tigray,Medebay-Zana,Adibearj
Tigray,Medebay-Zana,Adibearj
Tigray,Medebay-Zana,Adibearj
Tigray,Medebay-Zana,Adibearj
Tigray,Medebay-Zana,Adibearj
Tigray,Medebay-Zana,Adibearj
Tigray,Medebay-Zana,Adibearj
Tigray,Medebay-Zana,Adibearj
Tigray,Medebay-Zana,Adibearj
Tigray,Medebay-Zana,Adibearj
Tigray,Medebay-Zana,Adibearj
Tigray,Tanqua-Abergele,Hadashtekli
Tigray,Tanqua-Abergele,Hadashtekli
Tigray,Tanqua-Abergele,Hadashtekli
Tigray,Tanqua-Abergele,Hadashtekli
Tigray,Tanqua-Abergele,Hadashtekli
Tigray,Tanqua-Abergele,Hadashtekli
Tigray,Tanqua-Abergele,Hadashtekli
Tigray,Tanqua-Abergele,Hadashtekli
Tigray,Tanqua-Abergele,Hadashtekli
Tigray,Tanqua-Abergele,Hadashtekli
Tigray,Werieleke,Tsae
Tigray,Werieleke,Tsae
Tigray,Werieleke,Tsae
Tigray,Werieleke,Tsae
Tigray,Werieleke,Tsae
Tigray,Werieleke,Tsae
Tigray,Werieleke,Tsae
Tigray,Werieleke,Tsae
Tigray,Werieleke,Tsae
Tigray,Werieleke,Tsae
Tigray,Werieleke,Tsae
Tigray,Werieleke,Tsae
Tigray,Werieleke,Tsae
Tigray,Werieleke,Tsae
Tigray,Werieleke,Tsae
Tigray,Werieleke,Enda-Felasi
Tigray,Werieleke,Enda-Felasi
